A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,y
9.5,0.81,13.3,3.05,17.0,0.52,0.34,0.094,1.0014,3.2,53.0,0
9.5,0.64,10.8,3.05,5.0,0.46,0.5,0.073,1.0001,2.5,27.0,1
9.9,0.52,10.6,3.16,26.0,0.37,0.83,0.086,0.9981,2.6,70.0,1
9.6,0.73,7.1,3.67,8.0,0.06,0.63,0.083,0.99855,2.0,29.0,1
9.7,0.8,7.2,3.67,5.0,0.02,0.65,0.094,0.9993,2.3,31.0,1
9.6,0.71,6.9,3.68,8.0,0.06,0.67,0.08,0.99845,2.1,33.0,1
10.7,0.59,7.5,3.38,20.0,0.06,0.53,0.086,0.9965,2.6,44.0,0
10.1,0.64,11.1,3.22,7.0,0.48,0.18,0.068,0.9973,1.5,15.0,0
10.0,0.72,8.3,3.51,12.0,0.12,0.705,0.092,0.9994,2.6,28.0,1
9.5,0.54,7.4,3.39,5.0,0.12,0.67,0.186,0.996,1.6,21.0,1
9.2,0.52,8.4,3.2,12.0,0.6,0.65,0.112,0.9973,2.1,90.0,1
9.3,0.59,10.3,3.12,6.0,0.48,0.53,0.063,0.9998,2.5,25.0,0
9.4,0.52,7.6,3.36,7.0,0.32,0.62,0.082,0.9966,2.2,54.0,1
9.5,0.62,10.3,3.19,6.0,0.42,0.41,0.213,0.9994,2.4,14.0,0
9.5,0.63,10.3,3.19,5.0,0.44,0.43,0.214,0.9994,2.4,12.0,0
9.5,0.53,7.4,3.41,9.0,0.38,0.29,0.062,0.9968,1.7,30.0,0
9.3,0.59,10.3,3.12,6.0,0.48,0.53,0.063,0.9998,2.5,25.0,0
9.4,0.54,7.9,3.27,15.0,0.24,0.53,0.072,0.996,2.0,105.0,0
9.5,0.63,9.0,3.32,19.0,0.31,0.46,0.093,0.99815,2.8,98.0,0
9.4,0.53,8.6,3.3,30.0,0.3,0.47,0.076,0.9976,3.0,135.0,1
11.0,0.68,7.4,3.39,26.0,0.29,0.36,0.087,0.99645,2.6,72.0,1
11.0,0.65,7.1,3.42,20.0,0.29,0.35,0.096,0.9962,2.5,53.0,0
10.1,0.65,9.6,3.3,37.0,0.23,0.56,0.102,0.9996,3.4,92.0,1
10.4,0.64,9.6,3.3,30.0,0.12,0.77,0.082,0.99865,2.9,74.0,0
10.4,0.64,9.6,3.3,30.0,0.12,0.77,0.082,0.99865,2.9,74.0,0
9.7,0.62,9.3,3.24,25.0,0.26,0.61,0.09,0.99975,3.4,87.0,1
9.3,0.63,7.8,3.29,6.0,0.05,0.62,0.079,0.99735,2.3,18.0,1
9.5,0.7,10.3,3.28,35.0,0.42,0.59,0.09,0.999,2.8,73.0,0
9.2,0.69,10.0,3.16,13.0,0.2,0.49,0.071,1.0015,11.0,50.0,0
9.2,0.69,10.0,3.16,13.0,0.2,0.49,0.071,1.0015,11.0,50.0,0
11.5,0.83,10.3,3.28,5.0,0.5,0.44,0.107,0.998,4.5,13.0,1
9.7,0.67,13.4,3.16,6.0,0.62,0.27,0.082,1.0002,2.6,21.0,0
9.5,0.62,10.7,3.18,7.0,0.39,0.46,0.061,0.9981,2.0,15.0,1
12.5,0.66,10.2,3.23,10.0,0.64,0.36,0.122,0.998,2.9,41.0,0
12.5,0.66,10.2,3.23,10.0,0.64,0.36,0.122,0.998,2.9,41.0,0
9.4,0.54,8.0,3.22,21.0,0.28,0.58,0.066,0.9973,3.2,114.0,0
11.0,0.52,8.4,3.13,16.0,0.08,0.56,0.105,0.9958,2.1,44.0,1
12.5,0.7,8.9,3.35,6.0,0.45,0.43,0.052,0.9948,1.9,16.0,0
10.3,0.64,7.8,3.31,29.0,0.32,0.43,0.08,0.9974,2.8,58.0,1
11.5,1.0,12.4,3.16,28.0,0.58,0.49,0.103,1.0008,3.0,99.0,0
9.2,1.18,12.2,3.12,10.0,0.5,0.34,0.066,1.0,2.4,21.0,0
11.3,0.87,10.6,3.21,5.0,0.48,0.42,0.065,0.9972,2.7,18.0,0
9.8,0.75,10.9,3.3,6.0,0.47,0.39,0.118,0.9982,1.8,14.0,0
9.8,0.75,10.9,3.3,6.0,0.47,0.39,0.118,0.9982,1.8,14.0,0
10.7,0.78,11.9,3.12,6.0,0.5,0.57,0.082,1.0006,2.6,32.0,0
9.9,0.81,7.0,3.6,40.0,0.0,0.685,0.067,0.9979,1.9,63.0,1
12.0,0.93,13.8,3.02,6.0,0.67,0.49,0.093,0.9986,3.0,15.0,0
10.0,0.92,9.6,3.11,15.0,0.31,0.56,0.089,0.9979,2.8,46.0,0
9.4,0.86,9.1,3.36,11.0,0.0,0.785,0.093,0.9994,2.6,28.0,0
9.9,0.98,10.7,3.28,17.0,0.22,0.67,0.107,1.0004,2.7,34.0,0
9.4,0.83,9.1,3.35,11.0,0.0,0.795,0.096,0.9994,2.6,26.0,0
9.3,0.73,7.7,3.27,8.0,0.0,0.665,0.09,0.9974,2.4,19.0,1
13.0,0.77,13.5,3.18,23.0,0.79,0.53,0.12,1.0018,4.8,77.0,1
11.9,0.59,6.1,3.25,40.5,0.4,0.21,0.066,0.9912,1.4,165.0,0
12.8,0.61,6.7,3.55,17.0,0.01,0.75,0.078,0.9955,2.4,32.0,0
11.0,0.88,11.5,3.26,29.0,0.52,0.41,0.08,1.0001,3.0,55.0,1
9.8,0.68,12.6,3.17,10.0,0.66,0.38,0.088,1.001,2.6,41.0,0
9.4,0.7,8.2,3.19,14.0,0.23,0.7,0.099,0.9973,2.0,81.0,1
9.9,0.91,8.6,3.37,21.0,0.31,0.45,0.086,0.9982,2.6,50.0,0
10.0,0.56,11.9,3.05,6.0,0.66,0.58,0.072,0.9992,2.5,37.0,1
10.2,0.87,12.5,2.99,6.0,0.63,0.46,0.071,0.9988,2.0,15.0,1
11.8,0.93,10.0,3.26,7.0,0.5,0.42,0.107,0.9979,3.4,21.0,0
9.0,0.69,10.4,3.16,11.0,0.61,0.575,0.076,1.0,2.6,24.0,1
9.4,0.64,10.3,3.18,15.0,0.52,0.34,0.159,0.9998,2.8,75.0,1
9.9,0.78,6.9,3.57,35.0,0.02,0.765,0.063,0.9975,2.3,63.0,1
8.7,0.87,7.9,3.32,11.0,0.4,0.24,0.056,0.9967,1.6,25.0,0
10.6,1.04,9.1,3.32,26.0,0.48,0.28,0.067,0.9967,1.8,46.0,0
9.2,0.63,7.4,3.05,12.0,0.22,0.55,0.106,0.9959,2.2,72.0,1
10.8,0.81,14.0,3.01,6.0,0.63,0.41,0.089,1.0014,3.8,47.0,0
11.0,1.11,11.5,3.26,19.0,0.5,0.45,0.078,1.0003,3.0,47.0,0
13.3,0.99,11.4,3.11,6.0,0.66,0.625,0.088,0.9988,6.2,24.0,0
10.8,0.7,8.3,3.31,24.0,0.38,0.42,0.094,0.9979,2.5,60.0,0
9.4,0.8,8.3,3.21,11.0,0.42,0.26,0.08,0.9974,2.0,27.0,0
10.0,0.8,13.7,3.06,17.0,0.68,0.415,0.085,1.0014,2.9,43.0,0
9.4,0.8,8.3,3.21,11.0,0.42,0.26,0.08,0.9974,2.0,27.0,0
9.4,0.8,8.3,3.21,11.0,0.42,0.26,0.08,0.9974,2.0,27.0,0
9.2,0.74,7.7,3.42,23.0,0.28,0.51,0.087,0.998,2.1,54.0,1
9.7,0.76,7.4,3.43,11.0,0.07,0.63,0.09,0.9979,2.4,37.0,0
9.2,0.74,7.8,3.41,23.0,0.26,0.54,0.088,0.9981,2.0,48.0,0
9.6,0.54,8.3,3.31,17.0,0.15,0.66,0.079,0.9972,1.9,42.0,0
9.2,0.74,7.8,3.43,23.0,0.26,0.46,0.088,0.9981,1.9,53.0,0
10.0,0.8,13.7,3.06,17.0,0.68,0.415,0.085,1.0014,2.9,43.0,0
9.5,0.51,9.5,3.18,6.0,0.52,0.37,0.082,0.998,2.0,26.0,1
9.1,0.54,8.4,3.16,13.0,0.61,0.665,0.112,0.997,2.0,95.0,1
9.9,0.57,12.7,3.03,6.0,0.65,0.6,0.063,0.9997,2.3,25.0,1
9.9,0.53,6.6,3.47,68.0,0.02,0.735,0.122,0.9994,7.9,124.0,1
11.0,0.65,11.5,3.18,13.0,0.59,0.59,0.087,0.9988,2.6,49.0,0
11.0,0.65,11.5,3.18,13.0,0.59,0.59,0.087,0.9988,2.6,49.0,0
9.4,0.55,8.7,3.1,9.0,0.22,0.765,0.064,0.9963,2.3,42.0,1
9.9,0.53,6.6,3.47,68.0,0.02,0.735,0.122,0.9994,7.9,124.0,1
10.8,0.47,7.7,3.29,20.0,0.3,0.26,0.059,0.9949,1.7,38.0,0
10.5,0.61,12.2,3.1,19.0,0.54,0.48,0.085,1.0,2.6,64.0,0
10.5,0.63,11.4,3.15,10.0,0.49,0.6,0.085,0.9994,2.7,41.0,0
9.1,0.61,7.7,3.26,15.0,0.05,0.69,0.075,0.9974,2.7,27.0,1
10.1,0.76,8.7,3.36,11.0,0.46,0.31,0.059,0.9966,1.4,25.0,0
10.8,0.65,9.8,3.24,9.0,0.47,0.44,0.063,0.9981,2.5,28.0,0
11.3,0.7,10.4,3.19,6.0,0.58,0.34,0.174,0.997,3.7,16.0,0
9.5,0.62,9.0,3.38,26.0,0.34,0.43,0.08,0.9987,2.5,86.0,0
9.5,0.62,9.1,3.38,23.0,0.35,0.45,0.08,0.9987,2.4,78.0,1
9.3,0.64,7.1,3.27,15.0,0.16,0.735,0.1,0.9966,1.9,77.0,1
9.5,0.61,8.8,3.26,24.0,0.34,0.52,0.087,0.9982,2.7,122.0,1
9.3,1.07,8.6,3.32,31.0,0.24,0.725,0.117,1.0014,6.6,134.0,1
11.7,0.66,10.6,3.26,6.0,0.64,0.48,0.111,0.997,2.2,20.0,0
10.5,0.48,7.0,3.44,34.0,0.12,0.58,0.091,0.9956,1.9,124.0,1
10.4,0.76,11.9,3.24,7.0,0.51,0.38,0.121,0.9996,2.0,20.0,0
9.9,0.68,6.8,3.62,34.0,0.0,0.77,0.066,0.9976,1.8,52.0,1
10.9,0.44,7.7,3.36,15.0,0.2,0.96,0.047,0.9955,2.0,60.0,1
10.9,0.44,7.7,3.36,15.0,0.2,0.96,0.047,0.9955,2.0,60.0,1
11.4,0.49,6.4,3.49,19.0,0.08,0.67,0.045,0.9949,2.1,48.0,0
10.6,0.56,9.5,3.26,6.0,0.22,0.78,0.077,0.9988,1.9,32.0,0
9.3,0.6,9.1,3.24,9.0,0.33,0.52,0.07,0.9978,1.3,30.0,1
10.4,0.6,12.8,3.1,13.0,0.63,0.84,0.088,0.9997,2.4,35.0,0
9.2,0.56,7.8,3.25,21.0,0.35,0.55,0.074,0.9974,2.2,66.0,1
12.8,0.65,11.9,3.0,12.0,0.69,0.37,0.078,0.9958,2.3,24.0,0
9.5,0.49,12.3,3.16,6.0,0.63,0.39,0.091,1.0004,2.3,18.0,1
9.9,0.89,10.4,3.15,22.0,0.55,0.41,0.076,0.9996,3.2,54.0,0
9.5,0.49,12.3,3.16,6.0,0.63,0.39,0.091,1.0004,2.3,18.0,1
10.2,0.56,8.0,3.26,38.0,0.3,0.67,0.06,0.9958,2.0,62.0,0
11.2,0.66,11.1,3.17,6.0,0.73,0.45,0.066,0.9986,3.2,22.0,0
9.9,0.89,10.4,3.15,22.0,0.55,0.41,0.076,0.9996,3.2,54.0,0
9.3,0.6,7.0,3.08,7.0,0.18,0.62,0.062,0.9951,1.5,50.0,1
11.3,0.68,11.9,3.06,7.0,0.65,0.4,0.068,0.9988,2.15,27.0,0
10.1,0.56,9.5,3.23,6.0,0.1,0.735,0.079,0.9986,2.1,31.0,0
10.5,0.73,12.5,3.1,31.0,0.6,0.38,0.081,0.9996,2.6,72.0,1
11.2,0.72,9.3,3.22,6.0,0.29,0.48,0.127,0.9968,2.1,16.0,1
10.2,0.56,8.6,3.2,7.0,0.22,0.53,0.1,0.9967,2.0,27.0,0
10.8,0.61,11.9,3.1,17.0,0.69,0.39,0.095,0.9994,2.8,35.0,0
10.8,0.61,11.9,3.1,17.0,0.69,0.39,0.095,0.9994,2.8,35.0,0
9.1,1.06,8.4,3.06,9.0,0.53,0.37,0.413,0.9979,1.8,26.0,0
10.0,0.63,6.8,3.44,18.0,0.03,0.56,0.084,0.9968,1.7,35.0,0
11.1,0.63,7.0,3.5,21.0,0.4,0.23,0.063,0.9952,1.6,67.0,1
10.3,0.58,8.9,3.37,5.0,0.39,0.59,0.095,0.9986,2.3,22.0,1
9.6,0.58,9.2,3.28,29.0,0.21,0.63,0.097,0.9988,2.7,65.0,1
11.3,0.61,9.2,3.35,14.0,0.52,0.43,0.083,0.9976,2.3,23.0,0
9.3,0.61,8.3,3.26,6.0,0.22,0.615,0.087,0.9982,2.6,19.0,1
11.8,0.61,11.0,3.18,10.0,0.68,0.26,0.085,0.997,2.55,25.0,1
9.0,0.53,8.1,3.08,25.0,0.7,0.66,0.098,0.9972,2.2,129.0,1
9.2,0.7,11.5,2.98,5.0,0.54,0.315,0.084,0.9987,2.1,15.0,0
9.7,0.91,10.0,3.48,10.0,0.4,0.29,0.098,1.0006,2.9,26.0,1
11.5,0.72,10.3,3.16,21.0,0.42,0.5,0.069,0.9982,2.0,51.0,0
14.0,0.79,8.8,3.32,7.0,0.45,0.46,0.065,0.9947,2.6,18.0,0
9.2,0.62,11.4,3.17,6.0,0.69,0.36,0.09,1.0,2.1,21.0,0
9.8,0.58,8.7,3.2,36.0,0.02,0.82,0.07,0.9952,1.2,48.0,1
10.6,0.61,13.0,3.05,15.0,0.65,0.32,0.093,0.9996,2.6,47.0,1
11.4,0.71,9.6,3.2,25.0,0.42,0.54,0.081,0.997,2.4,52.0,0
10.4,0.82,12.5,3.15,25.0,0.55,0.37,0.083,0.9995,2.6,68.0,0
10.6,0.79,9.9,3.26,5.0,0.55,0.35,0.062,0.9971,2.1,14.0,1
9.4,0.89,10.5,3.2,10.0,0.51,0.28,0.08,0.9982,1.7,24.0,0
10.2,0.6,9.6,3.14,5.0,0.24,0.68,0.087,0.9988,2.2,28.0,1
9.7,0.7,9.3,3.28,6.0,0.41,0.27,0.091,0.998,2.0,16.0,1
11.0,1.06,10.4,3.18,6.0,0.49,0.24,0.075,0.9977,1.8,20.0,0
10.2,0.6,9.6,3.14,5.0,0.24,0.68,0.087,0.9988,2.2,28.0,1
10.1,0.7,9.4,3.19,6.0,0.11,0.685,0.077,0.9984,2.7,31.0,0
9.2,0.66,10.6,3.12,6.0,0.39,0.28,0.069,1.0026,15.5,23.0,1
9.4,1.05,10.6,3.04,6.0,0.59,0.36,0.152,0.9986,2.2,18.0,1
9.4,1.06,10.6,3.04,7.0,0.6,0.36,0.152,0.9986,2.2,18.0,1
13.4,0.66,10.6,3.06,6.0,0.68,0.44,0.114,0.997,4.1,24.0,0
10.0,0.47,10.2,3.17,6.0,0.39,0.67,0.054,0.9976,1.9,17.0,1
10.0,0.47,10.2,3.17,6.0,0.39,0.67,0.054,0.9976,1.9,17.0,1
10.0,0.42,10.2,3.17,5.0,0.36,0.645,0.053,0.9982,1.8,14.0,0
10.2,0.75,9.3,3.34,10.0,0.4,0.39,0.073,0.9984,2.6,26.0,0
10.6,0.67,9.3,3.31,24.0,0.27,0.775,0.078,0.9984,2.8,56.0,0
11.6,0.74,8.7,3.48,23.0,0.31,0.69,0.086,1.0002,3.0,81.0,0
12.1,0.55,6.5,3.44,28.0,0.23,0.39,0.051,0.9952,8.3,91.0,0
9.0,0.65,7.8,3.43,14.0,0.25,0.52,0.081,0.9984,1.9,38.0,0
11.1,0.79,7.2,3.32,43.0,0.32,0.34,0.09,0.9966,2.5,113.0,1
11.6,0.74,8.7,3.48,23.0,0.31,0.69,0.086,1.0002,3.0,81.0,0
9.0,0.65,7.8,3.43,14.0,0.25,0.52,0.081,0.9984,1.9,38.0,0
9.5,0.71,11.2,3.17,6.0,0.55,0.67,0.084,1.0,2.3,13.0,0
10.2,0.63,10.0,3.18,26.0,0.31,0.59,0.09,0.9994,2.2,62.0,0
9.5,0.61,12.4,3.02,19.0,0.49,0.42,0.073,0.9978,4.6,43.0,1
10.2,0.63,10.0,3.18,26.0,0.31,0.59,0.09,0.9994,2.2,62.0,0
9.7,0.81,10.7,3.03,15.0,0.48,0.4,0.125,0.998,2.1,49.0,0
9.3,1.14,8.5,3.31,34.0,0.49,0.655,0.122,1.001,6.1,151.0,1
11.9,0.74,12.5,3.25,5.0,0.49,0.6,0.1,1.001,4.3,14.0,0
11.7,0.68,10.9,3.22,11.0,0.49,0.21,0.088,0.9972,2.8,32.0,0
11.0,0.78,7.3,3.36,39.0,0.49,0.365,0.088,0.9966,2.5,106.0,1
10.0,0.9,9.8,3.42,15.0,0.49,0.25,0.088,0.9982,2.7,33.0,0
9.1,0.64,7.6,3.48,16.0,0.49,0.41,0.088,0.998,2.0,43.0,1
9.8,0.99,8.2,3.38,47.0,0.49,0.39,0.099,0.9979,2.3,133.0,1
9.4,0.55,9.3,3.22,38.0,0.49,0.4,0.085,0.9978,2.5,142.0,1
9.5,0.64,9.2,3.23,23.0,0.49,0.43,0.086,0.9976,2.4,116.0,1
9.9,0.67,10.4,3.24,29.0,0.24,0.64,0.105,0.9998,2.8,53.0,1
11.0,0.78,7.3,3.36,39.0,0.49,0.365,0.088,0.9966,2.5,106.0,1
11.4,0.77,7.0,3.39,33.0,0.49,0.38,0.097,0.9962,2.5,85.0,0
8.7,0.75,8.2,3.34,32.0,0.49,0.42,0.084,0.9988,2.6,55.0,0
9.4,0.57,9.9,3.09,6.0,0.24,0.63,0.077,0.9974,2.4,33.0,1
10.3,0.87,9.1,3.41,1.0,0.24,0.22,0.078,0.999,2.1,28.0,0
10.3,0.61,11.9,3.16,12.0,0.49,0.38,0.098,1.0004,2.7,42.0,1
10.3,0.61,11.9,3.16,12.0,0.49,0.38,0.098,1.0004,2.7,42.0,1
12.8,0.66,10.3,3.22,15.0,0.24,0.27,0.072,0.9956,2.1,33.0,0
10.0,0.56,10.0,3.28,13.0,0.24,0.48,0.102,1.0,2.7,32.0,0
10.3,0.87,9.1,3.41,1.0,0.24,0.22,0.078,0.999,2.1,28.0,0
9.4,0.57,9.9,3.09,6.0,0.24,0.63,0.077,0.9974,2.4,33.0,1
10.7,0.77,8.1,3.37,5.0,0.24,0.825,0.084,0.9972,2.1,13.0,0
11.2,0.62,11.2,3.22,5.0,0.74,0.5,0.1,0.9996,5.15,17.0,1
9.6,0.67,9.2,3.26,20.0,0.24,0.59,0.101,0.9988,3.3,47.0,1
11.0,0.73,9.5,3.21,5.0,0.49,0.46,0.064,0.9988,6.3,17.0,0
9.9,0.59,9.3,3.12,5.0,0.24,0.715,0.07,0.9966,2.1,20.0,1
11.0,0.72,11.2,3.06,16.0,0.24,0.66,0.085,0.9993,2.5,53.0,0
8.4,0.79,14.3,2.86,6.0,0.74,0.31,0.075,1.0008,1.8,15.0,0
9.1,0.59,9.1,3.08,38.0,0.49,0.47,0.094,0.9982,2.6,106.0,1
9.5,0.78,7.5,3.45,10.0,0.24,0.55,0.078,0.9983,2.0,28.0,0
10.7,0.86,10.6,3.26,6.0,0.49,0.31,0.067,0.9987,2.5,21.0,0
10.4,0.75,12.4,3.12,27.0,0.49,0.35,0.079,0.9994,2.6,69.0,0
9.4,0.61,9.0,3.27,6.0,0.49,0.53,0.171,0.9975,1.9,25.0,0
9.5,0.56,6.8,3.33,9.0,0.01,0.51,0.074,0.9958,2.1,25.0,0
10.0,0.73,9.4,3.19,14.0,0.24,0.43,0.092,0.998,2.8,45.0,0
10.0,0.74,9.5,3.12,14.0,0.24,0.46,0.092,0.998,2.7,44.0,0
11.5,0.62,5.0,3.74,32.0,0.24,1.04,0.05,0.9934,1.6,96.0,1
11.1,0.74,15.5,2.92,10.0,0.49,0.645,0.095,1.00315,4.2,23.0,1
11.1,0.74,15.5,2.92,10.0,0.49,0.645,0.095,1.00315,4.2,23.0,1
11.7,0.56,10.9,3.07,10.0,0.49,0.53,0.118,1.0002,4.6,17.0,0
11.1,0.74,15.6,2.92,10.0,0.49,0.645,0.095,1.00315,4.2,23.0,1
11.7,0.56,10.9,3.07,10.0,0.49,0.53,0.118,1.0002,4.6,17.0,0
12.7,0.68,13.0,3.3,6.0,0.49,0.47,0.085,1.0021,4.3,47.0,0
11.4,0.57,12.7,3.14,5.0,0.49,0.6,0.075,0.9994,2.8,19.0,1
9.2,0.58,9.0,3.23,26.0,0.49,0.44,0.078,0.9978,2.4,121.0,1
9.2,0.61,9.0,3.08,41.0,0.49,0.54,0.094,0.9982,2.9,110.0,1
10.1,0.61,7.6,3.31,25.0,0.49,0.29,0.092,0.9971,2.7,60.0,0
12.7,0.68,13.0,3.3,6.0,0.49,0.47,0.085,1.0021,4.3,47.0,0
11.4,0.57,12.7,3.14,5.0,0.49,0.6,0.075,0.9994,2.8,19.0,1
9.0,0.6,8.7,3.32,5.0,0.24,0.7,0.226,0.9991,2.5,15.0,0
9.0,0.6,8.7,3.32,5.0,0.24,0.7,0.226,0.9991,2.5,15.0,0
10.7,0.79,9.8,3.31,5.0,0.49,0.5,0.25,0.999,2.6,20.0,0
11.7,0.57,6.2,3.57,19.0,0.24,0.36,0.095,0.9946,2.2,42.0,0
11.0,0.91,11.5,3.32,10.0,0.49,0.35,0.07,1.0003,3.3,37.0,0
11.7,0.57,6.2,3.57,19.0,0.24,0.36,0.095,0.9946,2.2,42.0,0
10.4,0.61,10.2,3.14,10.0,0.49,0.24,0.075,0.9978,2.4,28.0,1
10.0,0.7,10.6,3.19,20.0,0.49,0.34,0.078,0.9992,3.2,78.0,0
10.2,0.8,12.3,3.2,28.0,0.49,0.27,0.079,0.9993,3.1,46.0,0
9.5,0.6,8.8,3.3,18.0,0.49,0.44,0.083,0.9982,2.8,111.0,1
9.8,0.6,8.8,3.29,17.0,0.49,0.47,0.085,0.9982,2.9,110.0,1
9.8,0.51,10.6,3.14,18.0,0.49,0.31,0.063,0.9976,2.2,40.0,0
9.6,0.44,12.3,3.19,5.0,0.49,0.5,0.089,1.0002,2.2,14.0,1
9.6,0.44,12.3,3.19,5.0,0.49,0.5,0.089,1.0002,2.2,14.0,1
9.2,0.43,11.7,3.19,5.0,0.49,0.49,0.083,1.0,2.2,15.0,1
9.6,0.66,7.6,3.47,8.0,0.24,0.51,0.091,0.998,2.4,38.0,0
9.3,0.59,7.3,3.26,18.0,0.24,0.73,0.108,0.9967,1.9,102.0,1
9.7,0.57,9.0,3.35,21.0,0.49,0.45,0.084,0.9987,2.6,75.0,1
11.5,0.5,6.6,3.12,23.0,0.49,0.39,0.07,0.9922,1.7,149.0,0
9.7,0.57,9.0,3.35,21.0,0.49,0.45,0.084,0.9987,2.6,75.0,1
9.0,0.58,9.9,3.29,9.0,0.58,0.49,0.094,1.0004,3.5,43.0,1
9.5,0.53,7.9,3.4,20.0,0.17,0.72,0.096,0.9978,2.6,38.0,1
9.3,0.57,8.9,3.27,30.0,0.41,0.595,0.086,0.9998,7.9,109.0,1
9.3,0.6,12.4,3.04,6.0,0.51,0.4,0.059,0.9994,2.0,24.0,0
10.0,0.63,11.9,3.09,5.0,0.58,0.58,0.071,0.998,1.9,18.0,0
9.8,0.48,8.5,3.2,5.0,0.18,0.585,0.078,0.9967,2.1,30.0,0
9.3,0.7,12.7,3.0,11.0,0.45,0.59,0.082,1.0,2.3,22.0,0
9.0,0.56,13.2,3.1,12.0,0.52,0.46,0.071,1.0006,2.2,35.0,0
9.3,0.52,7.7,3.3,6.0,0.0,0.835,0.081,0.9975,2.6,14.0,1
9.0,0.56,13.2,3.1,12.0,0.52,0.46,0.071,1.0006,2.2,35.0,0
9.1,0.62,8.3,3.17,14.0,0.13,0.58,0.096,0.9984,2.9,63.0,0
9.2,0.59,8.3,3.31,6.0,0.13,0.6,0.085,0.9984,2.6,24.0,0
10.5,0.53,8.8,3.31,26.0,0.41,0.48,0.092,0.9982,3.3,52.0,0
